sample,input_mode,input_1,input_2,single_end,cell_line,assay_category
CoB_08L_3A2_DNA-EM,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08L_3A2_DNA-EM/CoB_08L_3A2_DNA-EM.sorted.bam,,false,CoB,mTNA
CoB_08R_3A2_TNA-mRT-EM,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08R_3A2_TNA-mRT-EM/CoB_08R_3A2_TNA-mRT-EM.sorted.bam,,false,CoB,mTNA
CoM_08M_3A2_DNA-EM,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08M_3A2_DNA-EM/CoM_08M_3A2_DNA-EM.sorted.bam,,false,CoM,mTNA
CoM_08S_3A2_TNA-mRT-EM,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08S_3A2_TNA-mRT-EM/CoM_08S_3A2_TNA-mRT-EM.sorted.bam,,false,CoM,mTNA
CoB_08X_3A2_TNA-RT-EM,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoB_08X_3A2_TNA-RT-EM/CoB_08X_3A2_TNA-RT-EM.sorted.bam,,false,CoB,mTNA
CoM_08Y_3A2_TNA-RT-EM,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/CoM_08Y_3A2_TNA-RT-EM/CoM_08Y_3A2_TNA-RT-EM.sorted.bam,,false,CoM,mTNA
HT29_21S_3A2_bsTNA-HP,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21S_3A2_bsTNA-HP/HT29_21S_3A2_bsTNA-HP.sorted.bam,,true,HT29,HairyTNA
HT29_21T_3A2_bsTNA-HP,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21T_3A2_bsTNA-HP/HT29_21T_3A2_bsTNA-HP.sorted.bam,,true,HT29,HairyTNA
HT29_21W_3A2_bsDNA-HP,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21W_3A2_bsDNA-HP/HT29_21W_3A2_bsDNA-HP.sorted.bam,,true,HT29,HairyTNA
HT29_21X_3A2_bsDNA-HP,bam,s3://motleybio/Laboratory/SINGLE_V_TRINITY_COMPARISONS/p1_dna_snp/HT29_21X_3A2_bsDNA-HP/HT29_21X_3A2_bsDNA-HP.sorted.bam,,true,HT29,HairyTNA
CoB_01W_1A3_1DNA,fastq,s3://motleybio-medgenome/data/P2008501_04082025/FASTQ/CoB_01W_1A3_1DNA_R1.fastq.gz,s3://motleybio-medgenome/data/P2008501_04082025/FASTQ/CoB_01W_1A3_1DNA_R2.fastq.gz,false,CoB,single_analyte
CoM_01T_1A3_1DNA,fastq,s3://motleybio-medgenome/data/P2008501_04082025/FASTQ/CoM_01T_1A3_1DNA_R1.fastq.gz,s3://motleybio-medgenome/data/P2008501_04082025/FASTQ/CoM_01T_1A3_1DNA_R2.fastq.gz,false,CoM,single_analyte
HT29_01Z_1A3_1DNA,fastq,s3://motleybio-medgenome/data/P2008501_04082025/FASTQ/HT2_01Z_1A3_1DNA_R1.fastq.gz,s3://motleybio-medgenome/data/P2008501_04082025/FASTQ/HT2_01Z_1A3_1DNA_R2.fastq.gz,false,HT29,single_analyte
